Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.251,3.618,2.502,346,-3.802
RollerBallBrain,0.080,3.803,0.101,126,-6.905
RollerBallBrain,0.074,4.215,0.314,134,-7.395
RollerBallBrain,0.096,4.653,0.319,160,-7.214
RollerBallBrain,0.058,4.753,0.037,102,-7.366
RollerBallBrain,0.062,5.002,0.175,102,-7.220
RollerBallBrain,0.076,5.146,0.064,138,-7.182
RollerBallBrain,0.058,5.586,0.352,103,-6.839
RollerBallBrain,0.080,5.769,0.099,130,-6.839
RollerBallBrain,0.068,6.063,0.207,118,-6.786
RollerBallBrain,0.089,6.354,0.193,163,-6.923
RollerBallBrain,0.082,6.601,0.151,134,-7.021
RollerBallBrain,0.093,7.031,0.318,148,-7.296
RollerBallBrain,0.076,7.280,0.166,124,-7.410
RollerBallBrain,0.078,7.485,0.118,137,-7.388
RollerBallBrain,0.072,7.791,0.216,130,-7.388
RollerBallBrain,0.061,8.032,0.169,107,-7.508
RollerBallBrain,0.062,8.124,0.028,106,-7.596
RollerBallBrain,0.079,8.415,0.198,130,-7.596
RollerBallBrain,0.083,8.801,0.281,144,-7.973
RollerBallBrain,0.073,9.031,0.149,130,-7.973
RollerBallBrain,0.098,9.350,0.209,147,-7.975
RollerBallBrain,0.056,9.476,0.064,108,-7.940
RollerBallBrain,0.086,10.059,0.466,159,-8.025
RollerBallBrain,0.070,10.173,0.041,125,-8.167
RollerBallBrain,0.087,10.359,0.091,121,-8.242
RollerBallBrain,0.101,10.525,0.062,144,-8.291
RollerBallBrain,0.061,10.987,0.376,107,-8.387
RollerBallBrain,0.086,11.194,0.115,114,-8.354
RollerBallBrain,0.096,11.469,0.165,150,-8.381
RollerBallBrain,0.069,11.676,0.126,108,-8.301
RollerBallBrain,0.066,11.967,0.211,110,-8.369
RollerBallBrain,0.062,12.164,0.129,119,-8.364
RollerBallBrain,0.069,12.361,0.118,120,-8.205
RollerBallBrain,0.067,12.647,0.202,107,-8.057
RollerBallBrain,0.074,12.879,0.147,129,-7.951
RollerBallBrain,0.078,13.157,0.186,132,-7.736
RollerBallBrain,0.070,13.467,0.224,129,-7.697
RollerBallBrain,0.083,13.797,0.232,144,-7.621
RollerBallBrain,0.083,14.076,0.180,130,-7.530
RollerBallBrain,0.070,14.292,0.140,120,-7.546
RollerBallBrain,0.072,14.681,0.297,125,-7.652
RollerBallBrain,0.069,14.895,0.135,123,-7.648
RollerBallBrain,0.061,15.082,0.117,113,-7.637
RollerBallBrain,0.062,15.353,0.192,108,-7.563
RollerBallBrain,0.071,15.585,0.151,110,-7.573
RollerBallBrain,0.068,15.716,0.060,110,-7.518
RollerBallBrain,0.059,16.116,0.319,105,-7.613
RollerBallBrain,0.069,16.292,0.101,129,-7.632
RollerBallBrain,0.064,16.533,0.165,115,-7.625
RollerBallBrain,0.063,16.771,0.160,112,-7.604
RollerBallBrain,0.063,16.947,0.106,114,-7.563
RollerBallBrain,0.069,17.316,0.278,128,-7.593
RollerBallBrain,0.099,17.597,0.170,160,-7.630
RollerBallBrain,0.078,17.893,0.205,135,-7.631
RollerBallBrain,0.069,18.144,0.171,127,-7.622
RollerBallBrain,0.089,18.313,0.075,152,-7.586
RollerBallBrain,0.064,18.585,0.190,114,-7.542
RollerBallBrain,0.083,18.885,0.205,142,-7.519
RollerBallBrain,0.074,19.243,0.265,125,-7.564
RollerBallBrain,0.089,19.559,0.214,157,-7.557
RollerBallBrain,0.057,19.801,0.176,103,-7.514
RollerBallBrain,0.076,19.950,0.069,124,-7.536
RollerBallBrain,0.070,20.431,0.382,123,-7.594
RollerBallBrain,0.065,20.533,0.035,117,-7.578
RollerBallBrain,0.083,20.781,0.155,139,-7.543
RollerBallBrain,0.074,21.028,0.161,127,-7.526
RollerBallBrain,0.072,21.392,0.269,127,-7.554
RollerBallBrain,0.087,21.649,0.158,155,-7.563
RollerBallBrain,0.091,21.919,0.170,155,-7.581
RollerBallBrain,0.069,22.223,0.217,112,-7.644
RollerBallBrain,0.112,22.567,0.218,160,-7.666
RollerBallBrain,0.063,22.854,0.210,112,-7.667
RollerBallBrain,0.058,23.006,0.088,103,-7.678
RollerBallBrain,0.086,23.248,0.148,152,-7.717
RollerBallBrain,0.076,23.606,0.259,132,-7.761
RollerBallBrain,0.073,23.962,0.264,122,-7.778
RollerBallBrain,0.073,24.111,0.071,130,-7.771
RollerBallBrain,0.057,24.473,0.286,104,-7.737
RollerBallBrain,0.082,24.605,0.046,130,-7.737
RollerBallBrain,0.070,24.865,0.176,113,-7.743
RollerBallBrain,0.071,25.063,0.120,125,-7.736
RollerBallBrain,0.072,25.337,0.187,125,-7.742
RollerBallBrain,0.072,25.598,0.175,129,-7.704
RollerBallBrain,0.064,25.869,0.196,111,-7.653
RollerBallBrain,0.071,26.056,0.109,133,-7.653
RollerBallBrain,0.073,26.319,0.181,128,-7.721
RollerBallBrain,0.066,26.607,0.208,118,-7.720
RollerBallBrain,0.060,26.834,0.156,106,-7.687
RollerBallBrain,0.087,27.144,0.210,155,-7.716
RollerBallBrain,0.098,27.405,0.153,160,-7.734
RollerBallBrain,0.096,27.836,0.312,157,-7.698
RollerBallBrain,0.071,28.170,0.248,120,-7.716
RollerBallBrain,0.070,28.275,0.033,127,-7.726
RollerBallBrain,0.077,28.646,0.274,138,-7.708
RollerBallBrain,0.075,28.850,0.123,135,-7.735
RollerBallBrain,0.064,29.042,0.121,101,-7.721
RollerBallBrain,0.105,29.358,0.198,157,-7.677
RollerBallBrain,0.069,29.708,0.254,110,-7.665
RollerBallBrain,0.069,29.941,0.155,136,-7.705
RollerBallBrain,0.059,30.220,0.209,105,-7.679
RollerBallBrain,0.080,30.458,0.153,143,-7.684
RollerBallBrain,0.063,30.711,0.176,101,-7.696
RollerBallBrain,0.061,30.906,0.126,109,-7.678
RollerBallBrain,0.053,31.060,0.096,104,-7.658
RollerBallBrain,0.068,31.377,0.229,124,-7.661
RollerBallBrain,0.069,31.633,0.171,107,-7.663
RollerBallBrain,0.059,31.980,0.271,121,-7.628
RollerBallBrain,0.099,32.127,0.044,134,-7.634
RollerBallBrain,0.059,32.413,0.209,105,-7.599
RollerBallBrain,0.057,32.634,0.153,107,-7.593
RollerBallBrain,0.084,33.164,0.415,148,-7.600
RollerBallBrain,0.077,33.390,0.142,130,-7.600
RollerBallBrain,0.089,33.549,0.067,130,-7.600
RollerBallBrain,0.083,33.643,0.011,130,-7.600
RollerBallBrain,0.080,34.194,0.438,130,-7.600
RollerBallBrain,0.076,34.433,0.158,130,-7.600
RollerBallBrain,0.105,34.566,0.028,195,-7.600
RollerBallBrain,0.088,35.116,0.435,160,-7.604
RollerBallBrain,0.065,35.342,0.156,130,-7.604
RollerBallBrain,0.069,35.431,0.019,130,-7.604
RollerBallBrain,0.068,35.937,0.410,130,-7.604
RollerBallBrain,0.075,36.143,0.126,130,-7.604
RollerBallBrain,0.071,36.293,0.076,130,-7.604
RollerBallBrain,0.070,36.678,0.288,130,-7.604
RollerBallBrain,0.071,36.908,0.151,130,-7.604
RollerBallBrain,0.070,37.139,0.147,137,-7.655
RollerBallBrain,0.072,37.233,0.019,130,-7.655
RollerBallBrain,0.091,37.899,0.531,130,-7.655
RollerBallBrain,0.128,38.150,0.113,130,-7.655
RollerBallBrain,0.103,38.357,0.095,130,-7.655
RollerBallBrain,0.103,38.880,0.387,130,-7.655
RollerBallBrain,0.094,39.198,0.205,130,-7.655
RollerBallBrain,0.092,39.403,0.103,125,-7.790
RollerBallBrain,0.091,39.539,0.041,130,-7.790
RollerBallBrain,0.106,40.185,0.501,130,-7.790
RollerBallBrain,0.081,40.362,0.090,130,-7.790
RollerBallBrain,0.106,40.533,0.060,164,-7.961
RollerBallBrain,0.094,41.289,0.615,130,-7.961
RollerBallBrain,0.137,41.516,0.087,195,-7.961
RollerBallBrain,0.094,41.650,0.038,130,-7.961
RollerBallBrain,0.082,42.238,0.466,118,-8.065
RollerBallBrain,0.075,42.411,0.089,122,-8.074
RollerBallBrain,0.125,42.586,0.045,195,-8.074
RollerBallBrain,0.078,43.030,0.338,126,-8.141
RollerBallBrain,0.077,43.310,0.194,104,-8.153
RollerBallBrain,0.081,43.527,0.125,130,-8.153
RollerBallBrain,0.081,43.790,0.169,130,-8.153
RollerBallBrain,0.069,44.067,0.193,114,-8.171
RollerBallBrain,0.082,44.292,0.131,123,-8.177
