Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.348,7.145,5.469,2053,-4.100
RollerBallBrain,0.343,11.048,3.270,2072,-4.098
RollerBallBrain,0.274,14.931,3.303,2068,-4.094
RollerBallBrain,0.264,18.372,2.976,2071,-3.973
RollerBallBrain,0.257,21.611,2.786,2092,-3.999
RollerBallBrain,0.416,24.861,2.627,2080,-4.055
RollerBallBrain,0.327,28.958,3.452,2054,-4.065
RollerBallBrain,0.314,32.638,3.106,2111,-4.073
RollerBallBrain,0.321,36.369,3.162,2068,-4.064
RollerBallBrain,0.388,40.022,2.983,2052,-4.054
RollerBallBrain,0.257,43.355,2.898,2096,-4.049
RollerBallBrain,0.263,46.628,2.804,2100,-4.052
RollerBallBrain,0.312,50.395,3.183,2112,-4.064
RollerBallBrain,0.342,54.054,3.074,2089,-4.080
RollerBallBrain,0.294,57.165,2.631,2061,-4.068
RollerBallBrain,0.344,60.466,2.754,2053,-4.088
RollerBallBrain,0.382,63.928,2.849,2096,-4.080
RollerBallBrain,0.280,67.317,2.887,2056,-4.071
RollerBallBrain,0.274,70.562,2.781,2070,-4.076
RollerBallBrain,0.264,73.938,2.898,2060,-4.088
RollerBallBrain,0.246,76.827,2.474,2060,-4.098
RollerBallBrain,0.254,79.972,2.680,2062,-4.086
RollerBallBrain,0.266,83.076,2.653,2076,-4.100
RollerBallBrain,0.250,86.250,2.734,2055,-4.111
RollerBallBrain,0.254,89.458,2.749,2057,-4.114
RollerBallBrain,0.253,92.437,2.533,2073,-4.124
RollerBallBrain,0.328,96.572,3.496,2066,-4.128
RollerBallBrain,0.459,100.743,3.419,2077,-4.135
RollerBallBrain,0.440,105.535,3.928,2116,-4.132
RollerBallBrain,0.247,109.031,3.024,2058,-4.155
RollerBallBrain,0.252,112.135,2.651,2060,-4.159
RollerBallBrain,0.247,115.089,2.515,2050,-4.157
RollerBallBrain,0.250,118.088,2.549,2074,-4.169
RollerBallBrain,0.261,121.300,2.756,2070,-4.180
RollerBallBrain,0.274,124.317,2.548,2062,-4.168
RollerBallBrain,0.298,127.458,2.639,2056,-4.159
RollerBallBrain,0.236,130.620,2.724,2056,-4.153
RollerBallBrain,0.263,133.504,2.448,2067,-4.145
RollerBallBrain,0.246,136.589,2.653,2055,-4.139
RollerBallBrain,0.244,139.721,2.676,2123,-4.145
RollerBallBrain,0.250,142.783,2.618,2096,-4.144
RollerBallBrain,0.240,145.650,2.454,2049,-4.132
RollerBallBrain,0.243,148.795,2.710,2058,-4.141
RollerBallBrain,0.246,151.692,2.491,2068,-4.143
RollerBallBrain,0.238,154.636,2.526,2090,-4.136
RollerBallBrain,0.240,157.943,2.851,2110,-4.133
