Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.591,5.988,3.963,2056,-5.238
RollerBallBrain,0.556,10.059,3.307,2055,-5.296
RollerBallBrain,0.646,14.027,3.120,2055,-5.154
RollerBallBrain,0.624,18.128,3.260,2072,-5.340
RollerBallBrain,0.501,22.408,3.539,2051,-5.619
RollerBallBrain,0.628,26.644,3.373,2050,-5.599
RollerBallBrain,0.568,30.657,3.219,2057,-5.647
RollerBallBrain,0.819,35.777,3.994,2081,-5.598
RollerBallBrain,0.800,41.212,4.346,2082,-5.568
RollerBallBrain,0.640,46.186,4.020,2110,-5.588
RollerBallBrain,0.579,50.631,3.602,2049,-5.580
RollerBallBrain,0.705,57.164,5.551,2104,-5.561
RollerBallBrain,0.717,61.961,3.817,2085,-5.583
RollerBallBrain,0.669,66.783,3.882,2107,-5.596
RollerBallBrain,0.670,71.568,3.851,2065,-5.715
RollerBallBrain,0.587,75.681,3.291,2063,-5.769
RollerBallBrain,0.621,80.551,3.965,2103,-5.919
RollerBallBrain,0.601,84.943,3.541,2075,-5.961
RollerBallBrain,0.593,89.257,3.471,2055,-6.098
RollerBallBrain,0.695,93.643,3.453,2100,-6.204
RollerBallBrain,0.621,98.162,3.625,2070,-6.246
RollerBallBrain,0.583,102.529,3.537,2076,-6.231
RollerBallBrain,0.612,107.006,3.586,2096,-6.251
RollerBallBrain,0.623,111.422,3.521,2119,-6.248
RollerBallBrain,0.688,116.051,3.692,2053,-6.239
RollerBallBrain,0.642,120.384,3.457,2151,-6.228
RollerBallBrain,0.643,124.793,3.544,2089,-6.230
RollerBallBrain,0.622,129.312,3.635,2113,-6.223
RollerBallBrain,0.668,133.530,3.312,2108,-6.264
RollerBallBrain,0.632,138.049,3.636,2088,-6.278
RollerBallBrain,0.604,142.722,3.800,2072,-6.273
RollerBallBrain,0.603,147.025,3.435,2056,-6.311
RollerBallBrain,0.589,151.326,3.471,2050,-6.305
RollerBallBrain,0.645,155.781,3.529,2069,-6.335
RollerBallBrain,0.644,160.315,3.627,2066,-6.333
RollerBallBrain,0.624,164.635,3.453,2061,-6.342
RollerBallBrain,0.653,169.131,3.600,2084,-6.360
RollerBallBrain,0.628,173.528,3.508,2171,-6.350
RollerBallBrain,0.581,177.913,3.563,2082,-6.356
RollerBallBrain,0.576,182.159,3.416,2105,-6.455
RollerBallBrain,0.626,186.735,3.687,2057,-6.473
RollerBallBrain,0.579,191.156,3.592,2092,-6.469
RollerBallBrain,0.593,195.518,3.523,2086,-6.465
RollerBallBrain,0.555,200.467,4.141,2058,-6.464
RollerBallBrain,0.421,204.109,3.053,2104,-6.459
RollerBallBrain,0.447,207.689,2.970,2079,-6.461
RollerBallBrain,0.417,211.184,2.907,2111,-6.462
RollerBallBrain,0.424,214.897,3.115,2083,-6.458
RollerBallBrain,0.405,218.339,2.864,2095,-6.542
RollerBallBrain,0.405,221.984,3.077,2103,-6.536
RollerBallBrain,0.406,225.353,2.823,2128,-6.536
RollerBallBrain,0.453,229.180,3.208,2111,-6.536
RollerBallBrain,0.598,233.564,3.566,2080,-6.536
RollerBallBrain,0.707,237.932,3.477,2145,-6.536
RollerBallBrain,0.589,242.561,3.798,2081,-6.535
RollerBallBrain,0.602,246.823,3.425,2049,-6.535
RollerBallBrain,0.608,251.177,3.484,2086,-6.533
RollerBallBrain,0.615,255.722,3.672,2080,-6.533
RollerBallBrain,0.571,260.069,3.545,2145,-6.533
RollerBallBrain,0.596,264.395,3.503,2080,-6.533
RollerBallBrain,0.593,268.917,3.736,2080,-6.533
RollerBallBrain,0.579,273.281,3.572,2108,-6.527
RollerBallBrain,0.643,277.771,3.592,2055,-6.526
RollerBallBrain,0.581,282.327,3.720,2100,-6.525
RollerBallBrain,0.618,286.708,3.518,2080,-6.525
RollerBallBrain,0.574,291.143,3.611,2097,-6.538
RollerBallBrain,0.594,295.627,3.632,2069,-6.673
RollerBallBrain,0.639,299.885,3.371,2084,-6.679
RollerBallBrain,0.597,304.645,3.884,2104,-6.698
RollerBallBrain,0.620,308.868,3.365,2071,-6.693
RollerBallBrain,0.597,313.316,3.596,2076,-6.690
RollerBallBrain,0.655,317.970,3.747,2113,-6.718
RollerBallBrain,0.471,322.142,3.473,2097,-6.712
RollerBallBrain,0.421,325.829,3.079,2057,-6.717
RollerBallBrain,0.416,329.420,3.008,2058,-6.736
RollerBallBrain,0.404,332.811,2.824,2072,-6.733
RollerBallBrain,0.401,336.256,2.864,2097,-6.761
RollerBallBrain,0.402,340.033,3.200,2075,-6.760
RollerBallBrain,0.400,343.558,2.944,2067,-6.759
RollerBallBrain,0.424,347.228,3.071,2080,-6.815
RollerBallBrain,0.424,350.935,3.130,2162,-6.816
RollerBallBrain,0.419,354.428,2.911,2113,-6.816
RollerBallBrain,0.400,358.039,3.031,2080,-6.816
RollerBallBrain,0.402,361.349,2.761,2055,-6.843
RollerBallBrain,0.430,364.902,2.959,2080,-6.843
RollerBallBrain,0.563,368.580,2.958,2096,-6.842
RollerBallBrain,0.617,372.941,3.537,2080,-6.842
RollerBallBrain,0.635,377.312,3.543,2080,-6.842
RollerBallBrain,0.617,381.593,3.475,2106,-6.841
RollerBallBrain,0.600,386.385,3.903,2101,-6.840
RollerBallBrain,0.629,390.674,3.427,2112,-6.838
RollerBallBrain,0.636,395.368,3.783,2080,-6.838
RollerBallBrain,0.614,399.802,3.578,2080,-6.838
RollerBallBrain,0.638,404.436,3.739,2094,-6.834
RollerBallBrain,0.612,408.899,3.597,2053,-6.827
RollerBallBrain,0.592,413.506,3.745,2087,-6.859
RollerBallBrain,0.601,417.671,3.357,2100,-6.859
RollerBallBrain,0.679,422.245,3.689,2053,-6.859
RollerBallBrain,0.624,426.919,3.780,2057,-6.855
RollerBallBrain,0.600,431.543,3.760,2072,-6.852
RollerBallBrain,0.617,435.798,3.395,2089,-6.849
RollerBallBrain,0.596,440.204,3.550,2054,-6.857
