Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.345,6.691,5.298,2054,-5.555
RollerBallBrain,0.262,9.939,2.807,2057,-7.798
RollerBallBrain,0.280,13.106,2.695,2062,-7.760
RollerBallBrain,0.257,16.396,2.823,2106,-9.276
RollerBallBrain,0.243,19.422,2.590,2078,-9.682
RollerBallBrain,0.346,22.858,2.882,2074,-10.531
RollerBallBrain,0.260,26.127,2.793,2079,-11.077
RollerBallBrain,0.253,29.223,2.652,2053,-11.974
RollerBallBrain,0.252,32.084,2.431,2054,-13.410
RollerBallBrain,0.261,35.198,2.653,2058,-12.428
RollerBallBrain,0.264,38.358,2.707,2085,-11.814
RollerBallBrain,0.270,41.644,2.825,2071,-11.353
RollerBallBrain,0.266,44.649,2.562,2064,-11.818
RollerBallBrain,0.264,47.723,2.629,2077,-11.425
RollerBallBrain,0.247,50.984,2.816,2089,-11.389
RollerBallBrain,0.247,54.006,2.589,2050,-11.181
RollerBallBrain,0.241,57.043,2.599,2050,-10.861
RollerBallBrain,0.261,60.221,2.710,2106,-10.291
RollerBallBrain,0.248,63.320,2.659,2114,-9.995
RollerBallBrain,0.246,66.530,2.759,2054,-9.545
RollerBallBrain,0.347,69.906,2.817,2051,-9.208
RollerBallBrain,0.265,73.238,2.839,2073,-8.954
RollerBallBrain,0.245,76.436,2.738,2052,-8.746
RollerBallBrain,0.248,79.552,2.671,2056,-8.458
RollerBallBrain,0.268,82.688,2.660,2049,-8.299
RollerBallBrain,0.274,85.808,2.651,2083,-8.119
RollerBallBrain,0.244,88.929,2.685,2049,-7.977
RollerBallBrain,0.253,92.025,2.658,2085,-7.896
RollerBallBrain,0.253,95.142,2.660,2055,-7.776
RollerBallBrain,0.257,98.163,2.578,2060,-7.640
RollerBallBrain,0.236,101.237,2.629,2070,-7.502
RollerBallBrain,0.241,104.311,2.620,2057,-7.369
RollerBallBrain,0.244,107.332,2.572,2057,-7.244
RollerBallBrain,0.243,110.448,2.675,2069,-7.151
RollerBallBrain,0.241,113.685,2.766,2057,-7.064
RollerBallBrain,0.244,116.656,2.527,2067,-7.000
RollerBallBrain,0.262,119.806,2.702,2056,-6.911
RollerBallBrain,0.242,122.932,2.669,2054,-6.819
RollerBallBrain,0.250,125.985,2.607,2050,-6.737
RollerBallBrain,0.242,129.022,2.602,2060,-6.675
RollerBallBrain,0.255,132.172,2.699,2092,-6.615
RollerBallBrain,0.242,135.265,2.661,2094,-6.573
RollerBallBrain,0.247,138.415,2.713,2054,-6.519
RollerBallBrain,0.243,141.386,2.533,2059,-6.477
RollerBallBrain,0.256,144.499,2.664,2077,-6.444
RollerBallBrain,0.241,147.571,2.633,2052,-6.396
RollerBallBrain,0.244,150.597,2.596,2065,-6.349
RollerBallBrain,0.249,153.724,2.660,2062,-6.318
RollerBallBrain,0.255,156.726,2.545,2050,-6.281
RollerBallBrain,0.252,159.775,2.595,2055,-6.238
RollerBallBrain,0.249,162.986,2.768,2059,-6.192
RollerBallBrain,0.233,165.935,2.523,2049,-6.148
RollerBallBrain,0.250,168.943,2.573,2050,-6.120
RollerBallBrain,0.242,171.984,2.591,2075,-6.076
RollerBallBrain,0.244,175.127,2.693,2056,-6.043
RollerBallBrain,0.241,178.163,2.600,2055,-6.009
RollerBallBrain,0.250,181.292,2.658,2077,-5.987
RollerBallBrain,0.251,184.288,2.538,2050,-5.971
RollerBallBrain,0.245,187.303,2.576,2055,-5.937
RollerBallBrain,0.250,190.409,2.644,2062,-5.914
RollerBallBrain,0.239,193.575,2.726,2073,-5.882
RollerBallBrain,0.250,196.656,2.627,2057,-5.853
RollerBallBrain,0.309,199.901,2.737,2055,-5.828
RollerBallBrain,0.248,203.090,2.731,2078,-5.797
RollerBallBrain,0.245,206.033,2.507,2053,-5.775
RollerBallBrain,0.240,209.090,2.622,2060,-5.751
RollerBallBrain,0.254,212.337,2.761,2058,-5.739
RollerBallBrain,0.246,215.401,2.626,2060,-5.716
RollerBallBrain,0.277,218.531,2.659,2069,-5.711
RollerBallBrain,0.258,221.732,2.729,2093,-5.709
RollerBallBrain,0.244,224.785,2.608,2067,-5.686
RollerBallBrain,0.252,227.797,2.570,2074,-5.672
RollerBallBrain,0.258,230.849,2.593,2062,-5.647
RollerBallBrain,0.249,233.930,2.621,2080,-5.623
RollerBallBrain,0.252,237.033,2.647,2085,-5.601
RollerBallBrain,0.248,240.269,2.773,2056,-5.583
RollerBallBrain,0.257,243.394,2.667,2049,-5.563
RollerBallBrain,0.241,246.447,2.619,2051,-5.555
RollerBallBrain,0.236,249.409,2.543,2049,-5.548
RollerBallBrain,0.237,252.510,2.668,2051,-5.533
RollerBallBrain,0.240,255.501,2.567,2068,-5.524
RollerBallBrain,0.232,258.536,2.600,2050,-5.510
RollerBallBrain,0.240,261.574,2.609,2066,-5.492
RollerBallBrain,0.243,264.596,2.575,2058,-5.480
RollerBallBrain,0.234,267.613,2.580,2076,-5.458
RollerBallBrain,0.249,270.738,2.658,2055,-5.441
RollerBallBrain,0.252,273.721,2.539,2050,-5.422
RollerBallBrain,0.237,276.641,2.509,2054,-5.406
RollerBallBrain,0.242,279.737,2.657,2052,-5.389
RollerBallBrain,0.257,282.858,2.663,2090,-5.369
RollerBallBrain,0.238,285.862,2.572,2052,-5.357
RollerBallBrain,0.233,288.868,2.579,2058,-5.338
RollerBallBrain,0.239,292.083,2.754,2107,-5.319
RollerBallBrain,0.237,295.016,2.493,2097,-5.319
RollerBallBrain,0.232,297.995,2.551,2054,-5.312
RollerBallBrain,0.244,300.982,2.560,2055,-5.306
RollerBallBrain,0.234,304.002,2.604,2080,-5.294
RollerBallBrain,0.240,306.938,2.497,2055,-5.278
RollerBallBrain,0.234,310.053,2.680,2059,-5.272
RollerBallBrain,0.237,312.985,2.512,2050,-5.264
RollerBallBrain,0.233,316.017,2.587,2073,-5.254
RollerBallBrain,0.241,319.123,2.645,2057,-5.241
RollerBallBrain,0.243,322.087,2.545,2071,-5.231
RollerBallBrain,0.232,325.071,2.558,2062,-5.216
RollerBallBrain,0.235,328.198,2.671,2057,-5.201
RollerBallBrain,0.236,331.098,2.468,2049,-5.185
RollerBallBrain,0.237,334.013,2.513,2053,-5.175
RollerBallBrain,0.232,337.124,2.661,2052,-5.163
RollerBallBrain,0.240,340.062,2.497,2052,-5.159
RollerBallBrain,0.235,343.074,2.577,2059,-5.148
RollerBallBrain,0.232,346.025,2.544,2058,-5.143
RollerBallBrain,0.241,349.052,2.587,2051,-5.131
RollerBallBrain,0.244,352.104,2.610,2053,-5.118
RollerBallBrain,0.235,355.128,2.597,2051,-5.113
RollerBallBrain,0.231,358.044,2.489,2052,-5.102
RollerBallBrain,0.232,361.042,2.588,2060,-5.095
RollerBallBrain,0.236,363.975,2.517,2056,-5.089
RollerBallBrain,0.243,367.106,2.679,2053,-5.080
RollerBallBrain,0.237,370.000,2.484,2071,-5.075
RollerBallBrain,0.233,373.017,2.585,2075,-5.063
RollerBallBrain,0.242,376.080,2.617,2050,-5.054
RollerBallBrain,0.238,379.021,2.512,2079,-5.047
RollerBallBrain,0.232,382.075,2.613,2052,-5.043
RollerBallBrain,0.242,385.108,2.564,2058,-5.034
RollerBallBrain,0.238,388.058,2.516,2058,-5.026
RollerBallBrain,0.242,391.017,2.519,2051,-5.019
RollerBallBrain,0.236,394.067,2.607,2071,-5.013
RollerBallBrain,0.233,397.054,2.564,2052,-5.005
RollerBallBrain,0.237,400.005,2.512,2062,-5.000
RollerBallBrain,0.268,403.143,2.666,2049,-4.990
RollerBallBrain,0.241,406.171,2.596,2055,-4.983
RollerBallBrain,0.233,409.066,2.480,2052,-4.979
RollerBallBrain,0.243,412.039,2.541,2059,-4.975
RollerBallBrain,0.235,415.028,2.549,2058,-4.967
RollerBallBrain,0.242,417.985,2.528,2055,-4.962
RollerBallBrain,0.236,421.003,2.589,2055,-4.953
RollerBallBrain,0.236,423.978,2.536,2055,-4.945
RollerBallBrain,0.236,426.971,2.559,2049,-4.937
RollerBallBrain,0.233,429.934,2.533,2069,-4.930
RollerBallBrain,0.248,433.044,2.668,2068,-4.922
RollerBallBrain,0.235,436.003,2.532,2050,-4.911
RollerBallBrain,0.232,438.948,2.520,2056,-4.904
RollerBallBrain,0.239,442.062,2.667,2090,-4.899
RollerBallBrain,0.240,445.019,2.527,2063,-4.895
RollerBallBrain,0.237,448.006,2.553,2061,-4.883
RollerBallBrain,0.236,451.093,2.655,2062,-4.878
RollerBallBrain,0.235,454.163,2.630,2100,-4.869
RollerBallBrain,0.239,457.091,2.494,2058,-4.871
RollerBallBrain,0.233,460.083,2.573,2050,-4.862
RollerBallBrain,0.239,463.071,2.562,2060,-4.856
RollerBallBrain,0.234,466.056,2.562,2060,-4.849
RollerBallBrain,0.231,469.018,2.539,2057,-4.840
RollerBallBrain,0.236,472.102,2.638,2059,-4.834
RollerBallBrain,0.238,475.079,2.538,2089,-4.826
RollerBallBrain,0.238,478.150,2.639,2116,-4.821
RollerBallBrain,0.236,481.227,2.624,2059,-4.814
RollerBallBrain,0.233,484.243,2.578,2056,-4.807
RollerBallBrain,0.244,487.250,2.574,2056,-4.800
RollerBallBrain,0.244,490.346,2.498,2057,-4.800
RollerBallBrain,0.234,493.335,2.562,2056,-4.795
RollerBallBrain,0.234,496.301,2.536,2054,-4.786
RollerBallBrain,0.237,499.282,2.545,2055,-4.778
RollerBallBrain,0.233,502.248,2.539,2062,-4.776
RollerBallBrain,0.236,505.273,2.583,2053,-4.769
RollerBallBrain,0.238,508.222,2.537,2055,-4.764
RollerBallBrain,0.230,511.221,2.566,2061,-4.758
RollerBallBrain,0.235,514.254,2.599,2056,-4.749
RollerBallBrain,0.235,517.255,2.559,2057,-4.745
RollerBallBrain,0.236,520.177,2.495,2054,-4.739
RollerBallBrain,0.237,523.150,2.553,2060,-4.734
RollerBallBrain,0.231,526.114,2.533,2054,-4.728
RollerBallBrain,0.239,529.155,2.593,2070,-4.721
RollerBallBrain,0.238,532.250,2.653,2113,-4.714
RollerBallBrain,0.236,535.272,2.576,2056,-4.708
RollerBallBrain,0.235,538.257,2.554,2066,-4.703
RollerBallBrain,0.263,541.291,2.578,2052,-4.700
RollerBallBrain,0.232,544.548,2.831,2052,-4.695
RollerBallBrain,0.236,547.542,2.565,2058,-4.690
RollerBallBrain,0.239,550.541,2.568,2078,-4.683
RollerBallBrain,0.245,553.679,2.678,2050,-4.676
RollerBallBrain,0.273,556.809,2.659,2050,-4.671
RollerBallBrain,0.360,560.231,2.845,2091,-4.667
RollerBallBrain,0.271,563.720,2.976,2074,-4.662
RollerBallBrain,0.290,567.270,3.012,2049,-4.656
RollerBallBrain,0.241,570.505,2.767,2073,-4.651
RollerBallBrain,0.272,573.886,2.894,2060,-4.646
RollerBallBrain,0.275,577.029,2.653,2059,-4.640
RollerBallBrain,0.375,580.618,2.972,2055,-4.634
RollerBallBrain,0.256,583.766,2.677,2069,-4.628
