Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.259,438.730,3.132,2093,2.056
RollerBallBrain,0.276,442.677,3.399,2107,2.171
RollerBallBrain,0.264,446.349,3.139,2050,2.307
RollerBallBrain,0.269,450.039,3.147,2107,2.485
RollerBallBrain,0.265,453.757,3.204,2084,2.787
RollerBallBrain,0.275,457.612,3.303,2082,2.922
RollerBallBrain,0.293,461.514,3.214,2058,3.066
RollerBallBrain,0.251,465.324,3.297,2060,3.244
RollerBallBrain,0.283,469.109,3.234,2058,3.383
RollerBallBrain,0.267,472.623,3.024,2058,3.489
RollerBallBrain,0.257,476.284,3.131,2056,3.692
RollerBallBrain,0.271,479.992,3.175,2080,3.799
RollerBallBrain,0.265,483.794,3.281,2112,3.928
RollerBallBrain,0.276,487.313,3.004,2058,4.205
RollerBallBrain,0.268,490.927,3.070,2101,4.487
RollerBallBrain,0.260,494.528,3.092,2089,4.539
RollerBallBrain,0.341,498.432,3.284,2061,4.735
RollerBallBrain,0.255,502.242,3.280,2057,5.023
RollerBallBrain,0.261,505.765,3.007,2107,5.365
RollerBallBrain,0.272,509.471,3.167,2079,5.576
RollerBallBrain,0.303,512.914,2.889,2060,5.933
RollerBallBrain,0.270,516.653,3.203,2083,6.133
RollerBallBrain,0.260,520.247,3.093,2098,6.230
RollerBallBrain,0.264,523.867,3.084,2101,6.508
RollerBallBrain,0.266,527.503,3.132,2056,6.922
RollerBallBrain,0.264,531.189,3.157,2093,7.044
RollerBallBrain,0.264,534.702,3.011,2066,7.251
RollerBallBrain,0.274,538.310,3.074,2089,7.605
RollerBallBrain,0.260,542.075,3.239,2073,7.842
RollerBallBrain,0.262,545.663,3.060,2049,8.004
RollerBallBrain,0.259,549.251,3.067,2081,8.141
RollerBallBrain,0.265,552.923,3.162,2055,8.250
RollerBallBrain,0.261,556.374,2.935,2057,8.500
RollerBallBrain,0.262,560.162,3.260,2070,8.636
RollerBallBrain,0.265,563.873,3.192,2086,9.024
RollerBallBrain,0.262,567.671,3.276,2071,9.308
RollerBallBrain,0.261,571.313,3.139,2052,9.526
RollerBallBrain,0.273,574.834,3.004,2063,9.630
RollerBallBrain,0.256,578.510,3.141,2078,9.827
RollerBallBrain,0.269,582.110,3.062,2084,10.059
RollerBallBrain,0.256,585.802,3.179,2068,10.195
RollerBallBrain,0.268,589.399,3.067,2080,10.425
RollerBallBrain,0.269,593.246,3.309,2051,10.733
RollerBallBrain,0.266,597.187,3.421,2091,10.766
RollerBallBrain,0.263,600.907,3.211,2061,10.929
RollerBallBrain,0.270,604.902,3.462,2107,11.186
RollerBallBrain,0.290,608.631,3.167,2105,11.397
RollerBallBrain,0.275,612.233,3.056,2086,11.667
RollerBallBrain,0.292,615.807,3.027,2062,12.038
RollerBallBrain,0.289,619.562,3.194,2063,12.404
RollerBallBrain,0.268,623.204,3.119,2073,12.592
