Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.336,7.370,5.745,2058,-4.447
RollerBallBrain,0.360,10.982,3.017,2098,-4.432
RollerBallBrain,0.324,14.445,2.890,2072,-4.340
RollerBallBrain,0.312,17.985,2.991,2051,-4.397
RollerBallBrain,0.371,21.799,3.178,2072,-4.377
RollerBallBrain,0.298,25.529,3.144,2052,-4.379
RollerBallBrain,0.302,28.888,2.820,2058,-4.355
RollerBallBrain,0.341,32.775,3.263,2082,-4.266
RollerBallBrain,0.308,36.378,3.034,2066,-4.231
RollerBallBrain,0.277,39.654,2.786,2050,-4.204
RollerBallBrain,0.257,42.731,2.605,2068,-4.181
RollerBallBrain,0.348,45.962,2.698,2073,-4.170
RollerBallBrain,0.360,49.509,2.958,2095,-4.122
RollerBallBrain,0.269,52.516,2.553,2052,-4.088
RollerBallBrain,0.285,55.719,2.720,2089,-4.034
RollerBallBrain,0.304,59.213,2.934,2064,-3.996
RollerBallBrain,0.354,62.743,2.948,2091,-3.904
RollerBallBrain,0.257,66.008,2.799,2067,-3.851
RollerBallBrain,0.263,68.830,2.372,2075,-3.829
RollerBallBrain,0.269,72.151,2.852,2089,-3.788
RollerBallBrain,0.262,75.092,2.501,2093,-3.754
RollerBallBrain,0.327,78.217,2.625,2098,-3.611
RollerBallBrain,0.260,81.189,2.540,2081,-3.528
RollerBallBrain,0.251,84.267,2.643,2049,-3.461
RollerBallBrain,0.297,87.351,2.580,2069,-3.367
RollerBallBrain,0.243,90.311,2.526,2068,-3.284
RollerBallBrain,0.248,93.410,2.638,2074,-3.237
RollerBallBrain,0.301,96.511,2.642,2129,-3.166
RollerBallBrain,0.303,100.449,3.374,2173,-3.100
RollerBallBrain,0.305,103.583,2.615,2107,-3.022
RollerBallBrain,0.320,107.100,2.969,2110,-2.953
RollerBallBrain,0.331,110.501,2.849,2080,-2.953
RollerBallBrain,0.316,113.753,2.739,2080,-2.953
RollerBallBrain,0.331,117.240,2.906,2072,-2.894
RollerBallBrain,0.304,120.436,2.684,2094,-2.885
RollerBallBrain,0.363,123.832,2.807,2061,-2.800
RollerBallBrain,0.336,127.293,2.902,2080,-2.800
RollerBallBrain,0.332,130.494,2.678,2103,-2.726
RollerBallBrain,0.323,133.759,2.726,2070,-2.564
RollerBallBrain,0.306,137.056,2.770,2070,-2.556
RollerBallBrain,0.326,140.477,2.925,2080,-2.556
