Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.242,425.765,3.224,2060,-2.435
RollerBallBrain,0.236,429.351,3.101,2061,-2.302
RollerBallBrain,0.249,432.947,3.097,2064,-2.173
RollerBallBrain,0.239,436.665,3.216,2058,-2.025
RollerBallBrain,0.247,440.374,3.216,2058,-1.841
RollerBallBrain,0.247,443.888,3.043,2050,-1.781
RollerBallBrain,0.242,447.759,3.238,2080,-1.709
RollerBallBrain,0.243,451.540,3.270,2094,-1.592
RollerBallBrain,0.240,455.127,3.099,2110,-1.447
RollerBallBrain,0.242,458.668,3.046,2061,-1.294
RollerBallBrain,0.238,462.383,3.218,2113,-1.139
RollerBallBrain,0.244,466.007,3.112,2055,-1.009
RollerBallBrain,0.246,469.749,3.219,2054,-0.880
RollerBallBrain,0.234,473.267,3.046,2055,-0.780
RollerBallBrain,0.252,477.008,3.223,2087,-0.697
RollerBallBrain,0.235,480.585,3.096,2053,-0.593
RollerBallBrain,0.236,484.185,3.126,2072,-0.488
RollerBallBrain,0.249,487.902,3.210,2065,-0.373
RollerBallBrain,0.239,491.478,3.088,2088,-0.279
RollerBallBrain,0.241,495.112,3.129,2049,-0.162
RollerBallBrain,0.247,498.783,3.194,2079,-0.030
RollerBallBrain,0.240,502.542,3.255,2101,0.081
RollerBallBrain,0.241,506.192,3.170,2081,0.197
RollerBallBrain,0.245,509.790,3.128,2065,0.313
RollerBallBrain,0.245,513.465,3.168,2077,0.447
RollerBallBrain,0.238,517.056,3.093,2120,0.589
RollerBallBrain,0.229,520.614,3.087,2054,0.663
RollerBallBrain,0.231,524.309,3.201,2077,0.814
RollerBallBrain,0.248,527.999,3.203,2075,0.943
RollerBallBrain,0.238,531.649,3.145,2089,1.073
RollerBallBrain,0.242,535.225,3.094,2088,1.194
RollerBallBrain,0.251,538.874,3.163,2076,1.324
RollerBallBrain,0.239,542.424,3.064,2063,1.450
RollerBallBrain,0.243,546.106,3.186,2051,1.548
RollerBallBrain,0.243,549.663,3.066,2056,1.633
RollerBallBrain,0.239,553.525,3.361,2097,1.754
RollerBallBrain,0.236,557.137,3.119,2052,1.882
RollerBallBrain,0.235,560.699,3.096,2065,2.006
RollerBallBrain,0.238,564.187,3.019,2102,2.105
RollerBallBrain,0.246,567.817,3.123,2053,2.205
RollerBallBrain,0.241,571.560,3.257,2081,2.321
RollerBallBrain,0.240,575.086,3.041,2083,2.429
RollerBallBrain,0.246,578.873,3.286,2096,2.546
RollerBallBrain,0.236,582.313,2.966,2075,2.676
RollerBallBrain,0.242,585.905,3.103,2054,2.771
RollerBallBrain,0.236,589.574,3.169,2107,2.891
RollerBallBrain,0.238,593.162,3.090,2073,2.957
RollerBallBrain,0.240,596.758,3.121,2078,3.078
RollerBallBrain,0.247,600.343,3.091,2055,3.178
RollerBallBrain,0.242,604.103,3.252,2071,3.320
RollerBallBrain,0.241,607.655,3.067,2063,3.398
RollerBallBrain,0.241,611.602,3.450,2087,3.523
RollerBallBrain,0.248,615.617,3.501,2117,3.632
RollerBallBrain,0.239,619.283,3.183,2053,3.721
RollerBallBrain,0.243,622.923,3.160,2074,3.822
RollerBallBrain,0.242,626.663,3.255,2053,3.969
RollerBallBrain,0.244,630.292,3.150,2085,4.044
RollerBallBrain,0.244,633.987,3.201,2065,4.164
RollerBallBrain,0.239,637.588,3.104,2056,4.284
RollerBallBrain,0.246,641.166,3.100,2100,4.388
RollerBallBrain,0.239,644.735,3.093,2052,4.496
RollerBallBrain,0.232,648.199,2.972,2065,4.630
RollerBallBrain,0.246,651.913,3.185,2108,4.738
RollerBallBrain,0.253,655.723,3.278,2070,4.840
RollerBallBrain,0.242,659.289,3.077,2060,4.947
RollerBallBrain,0.244,662.931,3.144,2060,5.046
RollerBallBrain,0.247,666.463,3.054,2098,5.152
RollerBallBrain,0.242,670.166,3.196,2076,5.259
RollerBallBrain,0.246,673.793,3.121,2085,5.356
RollerBallBrain,0.240,677.322,3.045,2054,5.469
RollerBallBrain,0.240,680.919,3.105,2073,5.564
RollerBallBrain,0.236,684.547,3.144,2089,5.637
RollerBallBrain,0.235,688.132,3.083,2056,5.735
RollerBallBrain,0.249,691.867,3.214,2091,5.826
RollerBallBrain,0.241,695.474,3.115,2086,5.923
RollerBallBrain,0.248,698.978,3.011,2091,6.033
RollerBallBrain,0.246,702.534,3.065,2057,6.134
RollerBallBrain,0.246,706.159,3.124,2058,6.223
RollerBallBrain,0.251,709.859,3.209,2056,6.321
RollerBallBrain,0.238,713.427,3.084,2060,6.393
RollerBallBrain,0.249,716.886,2.982,2062,6.507
RollerBallBrain,0.237,720.527,3.171,2061,6.623
RollerBallBrain,0.236,724.178,3.141,2052,6.718
RollerBallBrain,0.242,727.736,3.047,2062,6.775
RollerBallBrain,0.251,731.292,3.068,2084,6.838
RollerBallBrain,0.252,734.920,3.133,2061,6.890
RollerBallBrain,0.240,738.529,3.122,2054,6.963
RollerBallBrain,0.243,741.996,3.020,2081,7.073
RollerBallBrain,0.247,745.798,3.296,2087,7.145
RollerBallBrain,0.242,749.263,2.965,2054,7.224
RollerBallBrain,0.241,752.924,3.178,2055,7.323
RollerBallBrain,0.244,756.745,3.311,2057,7.392
RollerBallBrain,0.246,760.334,3.127,2062,7.458
RollerBallBrain,0.248,764.202,3.348,2121,7.563
RollerBallBrain,0.249,767.883,3.172,2077,7.649
RollerBallBrain,0.253,771.792,3.386,2096,7.690
RollerBallBrain,0.242,775.285,3.007,2085,7.801
RollerBallBrain,0.234,779.087,3.314,2064,7.906
RollerBallBrain,0.246,782.745,3.183,2062,8.009
RollerBallBrain,0.251,786.690,3.413,2075,8.147
RollerBallBrain,0.250,790.555,3.371,2055,8.240
RollerBallBrain,0.278,794.338,3.234,2051,8.310
RollerBallBrain,0.249,798.273,3.417,2074,8.406
RollerBallBrain,0.252,802.457,3.605,2084,8.492
RollerBallBrain,0.263,806.167,3.186,2077,8.606
RollerBallBrain,0.280,810.016,3.313,2077,8.694
RollerBallBrain,0.279,813.756,3.217,2052,8.787
RollerBallBrain,0.261,817.527,3.228,2056,8.850
RollerBallBrain,0.311,821.356,3.260,2060,8.926
RollerBallBrain,0.260,825.178,3.296,2068,8.983
RollerBallBrain,0.269,828.924,3.192,2078,9.037
RollerBallBrain,0.307,833.031,3.509,2081,9.109
RollerBallBrain,0.273,837.161,3.560,2086,9.196
RollerBallBrain,0.300,841.256,3.502,2061,9.283
RollerBallBrain,0.265,845.110,3.315,2107,9.366
RollerBallBrain,0.276,848.959,3.307,2056,9.416
RollerBallBrain,0.241,852.704,3.228,2056,9.442
RollerBallBrain,0.287,856.460,3.217,2056,9.514
RollerBallBrain,0.261,860.340,3.332,2054,9.590
RollerBallBrain,0.275,864.138,3.250,2061,9.677
RollerBallBrain,0.276,868.076,3.376,2100,9.766
RollerBallBrain,0.311,871.898,3.240,2064,9.861
RollerBallBrain,0.271,875.789,3.346,2086,9.945
RollerBallBrain,0.331,879.815,3.403,2060,10.042
RollerBallBrain,0.310,884.530,3.933,2092,10.156
RollerBallBrain,0.248,888.512,3.461,2076,10.237
RollerBallBrain,0.269,892.393,3.375,2067,10.333
