Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.299,6.391,5.055,2049,-4.798
RollerBallBrain,0.263,9.621,2.765,2054,-4.806
RollerBallBrain,0.293,13.325,3.151,2051,-4.797
RollerBallBrain,0.264,16.853,3.031,2064,-4.760
RollerBallBrain,0.262,20.136,2.797,2054,-4.757
RollerBallBrain,0.267,23.315,2.696,2064,-4.665
RollerBallBrain,0.254,26.467,2.689,2063,-4.602
RollerBallBrain,0.254,29.605,2.672,2059,-4.578
RollerBallBrain,0.248,32.696,2.638,2058,-4.579
RollerBallBrain,0.260,35.777,2.616,2071,-4.586
RollerBallBrain,0.258,39.049,2.810,2058,-4.581
RollerBallBrain,0.262,42.266,2.745,2105,-4.580
RollerBallBrain,0.244,45.232,2.504,2064,-4.629
RollerBallBrain,0.246,48.271,2.608,2061,-4.640
RollerBallBrain,0.252,51.436,2.709,2100,-4.632
RollerBallBrain,0.266,54.681,2.762,2051,-4.641
RollerBallBrain,0.257,57.738,2.622,2094,-4.612
RollerBallBrain,0.264,60.800,2.611,2093,-4.604
RollerBallBrain,0.251,63.992,2.727,2068,-4.575
RollerBallBrain,0.254,67.089,2.629,2062,-4.550
RollerBallBrain,0.248,70.101,2.568,2059,-4.534
RollerBallBrain,0.253,73.274,2.706,2068,-4.496
RollerBallBrain,0.267,76.394,2.642,2102,-4.460
RollerBallBrain,0.247,79.498,2.655,2057,-4.456
RollerBallBrain,0.259,82.640,2.686,2087,-4.436
RollerBallBrain,0.252,85.764,2.661,2056,-4.406
RollerBallBrain,0.250,88.736,2.548,2051,-4.358
RollerBallBrain,0.256,91.997,2.784,2058,-4.325
RollerBallBrain,0.268,95.121,2.645,2060,-4.308
RollerBallBrain,0.240,98.214,2.660,2096,-4.274
RollerBallBrain,0.241,101.299,2.632,2060,-4.225
RollerBallBrain,0.238,104.477,2.713,2061,-4.209
RollerBallBrain,0.260,107.724,2.785,2087,-4.192
RollerBallBrain,0.270,110.990,2.787,2071,-4.172
RollerBallBrain,0.248,114.098,2.652,2065,-4.180
RollerBallBrain,0.262,117.317,2.747,2052,-4.181
RollerBallBrain,0.275,120.684,2.872,2064,-4.175
RollerBallBrain,0.262,123.766,2.645,2085,-4.166
RollerBallBrain,0.245,126.849,2.633,2057,-4.152
RollerBallBrain,0.263,130.008,2.701,2059,-4.143
RollerBallBrain,0.283,133.078,2.576,2058,-4.148
RollerBallBrain,0.391,136.560,2.867,2050,-4.131
RollerBallBrain,0.267,139.762,2.732,2071,-4.121
RollerBallBrain,0.257,142.889,2.691,2065,-4.114
RollerBallBrain,0.296,146.351,2.942,2099,-4.103
RollerBallBrain,0.268,149.509,2.699,2049,-4.094
RollerBallBrain,0.270,152.864,2.866,2060,-4.080
RollerBallBrain,0.246,155.991,2.675,2063,-4.064
RollerBallBrain,0.255,159.169,2.734,2049,-4.049
RollerBallBrain,0.243,162.305,2.696,2085,-4.030
RollerBallBrain,0.257,165.459,2.699,2051,-4.020
RollerBallBrain,0.248,168.579,2.667,2053,-3.997
RollerBallBrain,0.269,171.775,2.724,2049,-3.978
RollerBallBrain,0.249,174.962,2.739,2059,-3.967
RollerBallBrain,0.248,178.055,2.649,2072,-3.953
RollerBallBrain,0.251,181.018,2.523,2054,-3.939
RollerBallBrain,0.246,184.156,2.692,2081,-3.915
RollerBallBrain,0.242,187.408,2.813,2061,-3.903
RollerBallBrain,0.250,190.378,2.535,2051,-3.887
RollerBallBrain,0.268,193.640,2.786,2064,-3.869
RollerBallBrain,0.260,196.913,2.786,2052,-3.851
RollerBallBrain,0.258,200.016,2.654,2050,-3.837
RollerBallBrain,0.238,203.125,2.671,2056,-3.824
RollerBallBrain,0.243,206.423,2.837,2063,-3.811
RollerBallBrain,0.246,209.564,2.708,2058,-3.801
RollerBallBrain,0.268,212.574,2.545,2111,-3.791
RollerBallBrain,0.242,215.757,2.722,2056,-3.780
RollerBallBrain,0.236,218.831,2.631,2079,-3.766
RollerBallBrain,0.246,221.808,2.553,2059,-3.765
RollerBallBrain,0.247,224.960,2.690,2065,-3.759
RollerBallBrain,0.237,228.051,2.664,2053,-3.752
RollerBallBrain,0.256,231.056,2.555,2110,-3.746
RollerBallBrain,0.250,234.217,2.715,2085,-3.738
RollerBallBrain,0.248,237.477,2.798,2059,-3.726
RollerBallBrain,0.246,240.386,2.481,2100,-3.730
RollerBallBrain,0.239,243.653,2.815,2051,-3.720
RollerBallBrain,0.240,246.587,2.517,2073,-3.726
