Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.287,4.712,3.455,2066,-4.159
RollerBallBrain,0.251,7.840,2.689,2054,-4.034
RollerBallBrain,0.248,10.989,2.686,2053,-4.120
RollerBallBrain,0.260,14.190,2.737,2093,-4.042
RollerBallBrain,0.411,17.447,2.644,2053,-3.993
RollerBallBrain,0.380,21.434,3.318,2053,-3.940
RollerBallBrain,0.411,25.210,3.091,2081,-3.907
RollerBallBrain,0.433,29.064,3.156,2065,-3.863
RollerBallBrain,0.296,32.886,3.231,2063,-3.868
RollerBallBrain,0.299,36.441,3.009,2087,-3.863
RollerBallBrain,0.260,39.468,2.581,2085,-3.862
RollerBallBrain,0.298,42.776,2.792,2075,-3.843
RollerBallBrain,0.277,46.133,2.851,2050,-3.813
RollerBallBrain,0.268,49.332,2.736,2076,-3.794
RollerBallBrain,0.333,52.557,2.695,2058,-3.760
RollerBallBrain,0.352,55.845,2.728,2104,-3.716
RollerBallBrain,0.267,59.013,2.698,2103,-3.686
RollerBallBrain,0.260,62.134,2.662,2073,-3.646
RollerBallBrain,0.348,65.667,2.946,2078,-3.600
RollerBallBrain,0.285,69.134,2.915,2058,-3.557
RollerBallBrain,0.295,72.330,2.696,2104,-3.520
RollerBallBrain,0.365,75.769,2.852,2096,-3.475
RollerBallBrain,0.297,79.146,2.854,2113,-3.422
RollerBallBrain,0.263,83.768,4.159,2056,-3.393
RollerBallBrain,0.289,86.820,2.563,2058,-3.360
RollerBallBrain,0.267,89.978,2.686,2101,-3.318
RollerBallBrain,0.252,92.880,2.476,2085,-3.266
RollerBallBrain,0.271,95.821,2.487,2088,-3.206
RollerBallBrain,0.261,99.214,2.913,2111,-3.164
RollerBallBrain,0.311,102.351,2.617,2084,-3.088
RollerBallBrain,0.332,105.636,2.744,2093,-3.039
RollerBallBrain,0.290,108.916,2.763,2060,-2.985
RollerBallBrain,0.357,112.199,2.711,2068,-2.934
RollerBallBrain,0.332,115.608,2.878,2090,-2.871
RollerBallBrain,0.314,119.057,2.906,2065,-2.818
RollerBallBrain,0.257,122.626,3.079,2108,-2.759
RollerBallBrain,0.263,125.415,2.335,2055,-2.719
RollerBallBrain,0.269,128.454,2.576,2069,-2.662
