Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.662,8.289,5.978,2051,-5.192
RollerBallBrain,0.667,12.823,3.612,2088,-5.504
RollerBallBrain,0.591,17.165,3.530,2055,-5.689
RollerBallBrain,0.603,21.634,3.624,2049,-5.659
RollerBallBrain,0.531,25.791,3.408,2049,-5.575
RollerBallBrain,0.545,29.756,3.203,2062,-5.623
RollerBallBrain,0.566,33.940,3.354,2051,-5.615
RollerBallBrain,0.576,37.951,3.219,2088,-5.640
RollerBallBrain,0.598,42.026,3.254,2052,-5.775
RollerBallBrain,0.531,46.251,3.443,2056,-5.729
RollerBallBrain,0.527,50.015,3.052,2049,-5.777
RollerBallBrain,0.563,54.022,3.216,2074,-5.694
RollerBallBrain,0.531,57.958,3.183,2106,-5.657
RollerBallBrain,0.530,61.869,3.171,2050,-5.567
RollerBallBrain,0.566,66.065,3.373,2049,-5.484
RollerBallBrain,0.553,70.299,3.446,2064,-5.429
RollerBallBrain,0.535,74.358,3.300,2052,-5.399
RollerBallBrain,0.540,78.290,3.153,2056,-5.382
RollerBallBrain,0.599,82.438,3.327,2056,-5.382
RollerBallBrain,0.562,86.583,3.361,2053,-5.331
RollerBallBrain,0.541,90.589,3.253,2092,-5.273
RollerBallBrain,0.517,94.661,3.313,2073,-5.328
RollerBallBrain,0.544,98.701,3.279,2093,-5.304
RollerBallBrain,0.520,102.683,3.225,2057,-5.259
RollerBallBrain,0.540,106.519,3.084,2050,-5.262
RollerBallBrain,0.538,110.605,3.304,2071,-5.211
RollerBallBrain,0.576,114.596,3.189,2051,-5.224
RollerBallBrain,0.516,118.640,3.312,2056,-5.165
RollerBallBrain,0.410,122.087,2.839,2057,-5.147
RollerBallBrain,0.617,126.141,3.214,2056,-5.099
RollerBallBrain,0.505,130.377,3.489,2065,-5.072
RollerBallBrain,0.517,134.567,3.409,2055,-5.074
RollerBallBrain,0.640,139.183,3.685,2058,-5.038
RollerBallBrain,0.538,143.868,3.868,2093,-4.995
RollerBallBrain,0.502,147.750,3.145,2049,-4.962
RollerBallBrain,0.599,152.534,3.899,2060,-4.952
RollerBallBrain,0.515,156.505,3.235,2058,-4.909
RollerBallBrain,0.495,160.206,3.013,2054,-4.954
RollerBallBrain,0.478,163.952,3.050,2076,-4.925
RollerBallBrain,0.465,167.635,3.004,2076,-4.885
RollerBallBrain,0.532,171.641,3.245,2087,-4.863
RollerBallBrain,0.545,175.873,3.437,2106,-4.833
RollerBallBrain,0.552,179.963,3.292,2056,-4.795
RollerBallBrain,0.535,184.091,3.336,2050,-4.741
RollerBallBrain,0.536,188.041,3.175,2050,-4.707
RollerBallBrain,0.523,192.126,3.323,2054,-4.668
RollerBallBrain,0.552,196.181,3.251,2049,-4.625
RollerBallBrain,0.536,200.234,3.280,2051,-4.581
RollerBallBrain,0.590,204.494,3.414,2049,-4.539
RollerBallBrain,0.673,208.845,3.418,2057,-4.505
RollerBallBrain,0.561,213.210,3.535,2053,-4.468
RollerBallBrain,0.602,217.381,3.327,2055,-4.432
RollerBallBrain,0.548,221.523,3.340,2056,-4.395
RollerBallBrain,0.609,225.588,3.206,2054,-4.359
RollerBallBrain,0.563,229.700,3.299,2052,-4.324
RollerBallBrain,0.520,233.616,3.179,2049,-4.291
RollerBallBrain,0.531,237.660,3.275,2060,-4.260
RollerBallBrain,0.544,241.597,3.188,2050,-4.228
RollerBallBrain,0.516,245.615,3.296,2051,-4.199
RollerBallBrain,0.536,249.539,3.161,2054,-4.170
RollerBallBrain,0.527,253.476,3.156,2059,-4.144
RollerBallBrain,0.536,257.558,3.288,2066,-4.118
RollerBallBrain,0.526,261.515,3.224,2059,-4.095
RollerBallBrain,0.504,265.500,3.264,2065,-4.073
RollerBallBrain,0.515,269.460,3.221,2065,-4.049
RollerBallBrain,0.608,273.765,3.428,2054,-4.029
RollerBallBrain,0.562,278.001,3.421,2065,-4.009
RollerBallBrain,0.537,282.172,3.370,2051,-3.985
RollerBallBrain,0.524,286.218,3.275,2060,-3.964
RollerBallBrain,0.552,290.298,3.263,2053,-3.945
RollerBallBrain,0.551,294.453,3.349,2061,-3.925
RollerBallBrain,0.610,298.970,3.659,2057,-3.906
RollerBallBrain,0.488,302.994,3.289,2056,-3.887
RollerBallBrain,0.474,306.692,3.015,2051,-3.871
RollerBallBrain,0.498,310.435,3.033,2056,-3.852
RollerBallBrain,0.500,314.306,3.154,2049,-3.833
RollerBallBrain,0.484,318.036,3.048,2056,-3.815
RollerBallBrain,0.548,321.837,3.047,2054,-3.797
RollerBallBrain,0.561,325.816,3.192,2058,-3.780
RollerBallBrain,0.443,329.447,2.986,2051,-3.763
RollerBallBrain,0.476,333.264,3.129,2071,-3.745
RollerBallBrain,0.513,336.878,2.908,2049,-3.726
RollerBallBrain,0.492,340.478,2.912,2059,-3.710
RollerBallBrain,0.468,344.266,3.103,2055,-3.693
RollerBallBrain,0.453,347.861,2.930,2050,-3.676
RollerBallBrain,0.468,351.488,2.962,2054,-3.658
RollerBallBrain,0.483,355.099,2.918,2055,-3.643
RollerBallBrain,0.453,358.666,2.917,2056,-3.626
RollerBallBrain,0.451,362.284,2.956,2058,-3.610
RollerBallBrain,0.477,365.882,2.926,2057,-3.593
RollerBallBrain,0.452,369.516,2.995,2052,-3.578
RollerBallBrain,0.476,373.106,2.921,2060,-3.562
RollerBallBrain,0.455,376.723,2.967,2059,-3.546
RollerBallBrain,0.520,380.365,2.921,2057,-3.530
RollerBallBrain,0.455,384.018,2.987,2052,-3.514
RollerBallBrain,0.463,387.585,2.900,2056,-3.499
RollerBallBrain,0.458,391.220,2.983,2053,-3.484
RollerBallBrain,0.461,394.802,2.920,2056,-3.470
RollerBallBrain,0.488,398.415,2.939,2058,-3.455
RollerBallBrain,0.463,402.010,2.942,2056,-3.441
RollerBallBrain,0.432,405.595,2.941,2057,-3.428
RollerBallBrain,0.446,409.108,2.875,2049,-3.414
RollerBallBrain,0.518,412.745,2.922,2062,-3.401
RollerBallBrain,0.455,416.321,2.912,2074,-3.389
RollerBallBrain,0.467,419.896,2.883,2053,-3.377
RollerBallBrain,0.463,423.553,2.980,2050,-3.366
RollerBallBrain,0.440,427.082,2.873,2055,-3.354
RollerBallBrain,0.458,430.686,2.952,2066,-3.342
RollerBallBrain,0.512,434.446,3.054,2057,-3.331
RollerBallBrain,0.487,438.277,3.134,2064,-3.319
RollerBallBrain,0.484,441.970,2.996,2066,-3.309
RollerBallBrain,0.475,445.728,3.070,2064,-3.297
RollerBallBrain,0.472,449.416,2.999,2066,-3.286
RollerBallBrain,0.522,453.232,3.085,2059,-3.275
RollerBallBrain,0.467,456.996,3.082,2054,-3.265
RollerBallBrain,0.509,460.696,2.984,2060,-3.255
RollerBallBrain,0.496,464.396,3.002,2062,-3.246
RollerBallBrain,0.493,468.094,3.025,2056,-3.236
RollerBallBrain,0.478,471.743,2.965,2059,-3.227
