Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.277,5.930,4.712,2073,-4.595
RollerBallBrain,0.270,9.191,2.790,2136,-4.497
RollerBallBrain,0.246,12.456,2.816,2063,-4.472
RollerBallBrain,0.247,15.648,2.723,2049,-4.483
RollerBallBrain,0.248,18.810,2.721,2086,-4.461
RollerBallBrain,0.249,22.022,2.765,2050,-4.468
RollerBallBrain,0.304,25.233,2.710,2049,-4.444
RollerBallBrain,0.302,28.897,3.106,2054,-4.463
RollerBallBrain,0.278,32.260,2.830,2061,-4.439
RollerBallBrain,0.283,35.553,2.774,2059,-4.432
RollerBallBrain,0.294,38.984,2.900,2056,-4.428
RollerBallBrain,0.287,42.354,2.850,2053,-4.385
RollerBallBrain,0.429,45.976,2.937,2053,-4.360
RollerBallBrain,0.260,49.524,3.054,2050,-4.338
RollerBallBrain,0.247,52.750,2.767,2053,-4.294
RollerBallBrain,0.256,55.993,2.766,2056,-4.285
RollerBallBrain,0.245,59.089,2.676,2050,-4.259
RollerBallBrain,0.244,62.315,2.764,2052,-4.232
RollerBallBrain,0.266,65.613,2.825,2056,-4.217
RollerBallBrain,0.268,68.705,2.632,2060,-4.187
RollerBallBrain,0.247,71.870,2.715,2071,-4.143
RollerBallBrain,0.278,75.094,2.721,2059,-4.106
RollerBallBrain,0.278,78.145,2.578,2062,-4.070
RollerBallBrain,0.239,81.192,2.599,2069,-4.004
RollerBallBrain,0.236,84.321,2.698,2066,-3.943
RollerBallBrain,0.272,87.581,2.778,2060,-3.906
RollerBallBrain,0.236,90.572,2.582,2064,-3.877
RollerBallBrain,0.239,93.698,2.697,2066,-3.845
RollerBallBrain,0.260,96.758,2.598,2053,-3.800
RollerBallBrain,0.245,99.851,2.647,2064,-3.765
RollerBallBrain,0.245,103.000,2.708,2122,-3.747
RollerBallBrain,0.239,106.010,2.559,2073,-3.708
RollerBallBrain,0.260,109.211,2.740,2059,-3.656
RollerBallBrain,0.237,112.383,2.748,2060,-3.615
RollerBallBrain,0.277,115.597,2.720,2057,-3.568
RollerBallBrain,0.265,118.812,2.751,2056,-3.526
RollerBallBrain,0.262,122.008,2.744,2054,-3.490
RollerBallBrain,0.323,125.330,2.786,2081,-3.446
RollerBallBrain,0.395,128.991,2.997,2051,-3.392
RollerBallBrain,0.259,132.662,3.134,2052,-3.345
RollerBallBrain,0.269,135.863,2.708,2051,-3.309
RollerBallBrain,0.266,139.013,2.664,2057,-3.268
RollerBallBrain,0.280,142.137,2.637,2062,-3.231
RollerBallBrain,0.252,145.340,2.740,2067,-3.200
RollerBallBrain,0.274,148.506,2.683,2059,-3.166
RollerBallBrain,0.245,151.529,2.580,2060,-3.135
RollerBallBrain,0.279,154.805,2.782,2064,-3.100
RollerBallBrain,0.244,157.999,2.738,2056,-3.069
RollerBallBrain,0.249,161.067,2.617,2061,-3.037
RollerBallBrain,0.286,164.249,2.688,2049,-3.006
RollerBallBrain,0.241,167.303,2.597,2051,-2.975
RollerBallBrain,0.255,170.453,2.699,2055,-2.947
RollerBallBrain,0.242,173.609,2.691,2059,-2.917
RollerBallBrain,0.274,176.964,2.838,2077,-2.891
RollerBallBrain,0.260,180.042,2.620,2049,-2.864
RollerBallBrain,0.247,183.122,2.641,2064,-2.835
RollerBallBrain,0.257,186.266,2.669,2056,-2.809
RollerBallBrain,0.239,189.341,2.621,2053,-2.783
RollerBallBrain,0.257,192.387,2.586,2051,-2.761
RollerBallBrain,0.244,195.517,2.666,2056,-2.738
RollerBallBrain,0.248,198.560,2.601,2053,-2.716
RollerBallBrain,0.240,201.641,2.645,2056,-2.691
RollerBallBrain,0.240,204.700,2.619,2055,-2.668
RollerBallBrain,0.240,207.822,2.650,2055,-2.646
RollerBallBrain,0.261,210.895,2.593,2051,-2.625
RollerBallBrain,0.246,214.042,2.686,2069,-2.603
RollerBallBrain,0.253,217.136,2.633,2058,-2.586
RollerBallBrain,0.281,220.332,2.708,2070,-2.567
RollerBallBrain,0.242,223.549,2.768,2060,-2.549
RollerBallBrain,0.258,226.715,2.699,2070,-2.530
RollerBallBrain,0.256,229.853,2.678,2051,-2.514
RollerBallBrain,0.252,233.067,2.750,2059,-2.497
RollerBallBrain,0.245,236.246,2.713,2055,-2.483
