Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.332,7.719,6.110,2068,-3.735
RollerBallBrain,0.326,11.489,3.168,2068,-3.761
RollerBallBrain,0.322,15.097,3.022,2059,-3.850
RollerBallBrain,0.351,18.980,3.231,2067,-3.837
RollerBallBrain,0.352,22.816,3.213,2065,-3.879
RollerBallBrain,0.307,26.318,2.959,2057,-3.884
RollerBallBrain,0.310,29.817,2.959,2061,-3.866
RollerBallBrain,0.335,33.240,2.854,2094,-3.872
RollerBallBrain,0.300,36.730,2.938,2070,-3.827
RollerBallBrain,0.312,40.296,3.003,2081,-3.796
RollerBallBrain,0.304,43.868,3.018,2051,-3.791
RollerBallBrain,0.301,47.326,2.924,2061,-3.772
RollerBallBrain,0.311,50.806,2.922,2081,-3.734
RollerBallBrain,0.362,54.371,2.956,2073,-3.681
RollerBallBrain,0.327,58.063,3.086,2092,-3.624
RollerBallBrain,0.360,61.550,2.877,2057,-3.581
RollerBallBrain,0.308,65.155,3.050,2053,-3.529
RollerBallBrain,0.369,68.989,3.190,2051,-3.501
RollerBallBrain,0.298,72.248,2.736,2075,-3.465
RollerBallBrain,0.325,75.956,3.120,2093,-3.452
RollerBallBrain,0.369,79.416,2.853,2062,-3.402
RollerBallBrain,0.343,82.992,2.991,2052,-3.368
RollerBallBrain,0.375,86.808,3.144,2093,-3.311
RollerBallBrain,0.333,90.664,3.230,2093,-3.273
RollerBallBrain,0.307,94.075,2.859,2073,-3.211
RollerBallBrain,0.412,97.595,2.862,2101,-3.173
RollerBallBrain,0.291,101.099,2.946,2093,-3.123
RollerBallBrain,0.382,104.826,3.081,2091,-3.077
RollerBallBrain,0.263,108.480,3.127,2089,-3.015
RollerBallBrain,0.317,112.172,3.113,2094,-2.975
RollerBallBrain,0.305,115.443,2.742,2063,-2.909
RollerBallBrain,0.346,118.910,2.886,2087,-2.891
RollerBallBrain,0.370,122.599,3.042,2051,-2.842
RollerBallBrain,0.329,126.348,3.130,2050,-2.790
RollerBallBrain,0.414,129.807,2.797,2062,-2.740
RollerBallBrain,0.342,133.522,3.108,2065,-2.694
RollerBallBrain,0.356,136.884,2.778,2056,-2.663
RollerBallBrain,0.383,140.483,2.954,2112,-2.652
RollerBallBrain,0.339,144.182,3.086,2078,-2.601
RollerBallBrain,0.370,147.535,2.756,2057,-2.513
RollerBallBrain,0.367,150.968,2.827,2106,-2.476
RollerBallBrain,0.323,154.380,2.871,2111,-2.417
RollerBallBrain,0.340,157.788,2.827,2104,-2.353
RollerBallBrain,0.449,161.334,2.882,2078,-2.305
RollerBallBrain,0.341,165.326,3.327,2106,-2.241
RollerBallBrain,0.310,168.638,2.783,2072,-2.220
RollerBallBrain,0.330,172.124,2.940,2101,-2.117
RollerBallBrain,0.337,175.649,2.947,2105,-2.037
RollerBallBrain,0.343,179.089,2.861,2061,-2.030
RollerBallBrain,0.329,182.316,2.688,2069,-1.962
RollerBallBrain,0.349,185.816,2.954,2080,-1.962
RollerBallBrain,0.361,189.149,2.752,2102,-1.922
RollerBallBrain,0.351,192.653,2.913,2093,-1.835
RollerBallBrain,0.347,195.949,2.751,2066,-1.798
