Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.318,475.718,3.750,2056,6.714
RollerBallBrain,0.316,479.859,3.467,2061,6.927
RollerBallBrain,0.328,484.249,3.692,2070,7.072
RollerBallBrain,0.430,488.583,3.522,2089,7.288
RollerBallBrain,0.367,492.970,3.672,2070,7.402
RollerBallBrain,0.326,497.296,3.461,2056,7.561
RollerBallBrain,0.354,501.591,3.569,2068,7.738
RollerBallBrain,0.328,505.997,3.690,2049,7.917
RollerBallBrain,0.331,510.282,3.554,2050,8.103
RollerBallBrain,0.337,514.637,3.678,2080,8.342
RollerBallBrain,0.398,518.990,3.592,2057,8.456
RollerBallBrain,0.342,522.933,3.281,2093,8.630
RollerBallBrain,0.339,527.207,3.555,2063,8.789
RollerBallBrain,0.339,531.833,3.891,2079,8.981
RollerBallBrain,0.328,536.142,3.641,2065,9.074
RollerBallBrain,0.335,540.350,3.523,2055,9.192
