Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.271,231.766,1.700,1125,9.909
RollerBallBrain,0.254,233.942,1.796,1068,9.907
RollerBallBrain,0.245,235.995,1.701,1068,9.880
RollerBallBrain,0.247,237.974,1.624,1073,10.075
RollerBallBrain,0.279,240.030,1.662,1073,10.086
RollerBallBrain,0.257,242.088,1.696,1092,10.186
RollerBallBrain,0.255,244.168,1.721,1047,10.145
RollerBallBrain,0.244,246.169,1.668,1064,11.555
RollerBallBrain,0.248,248.271,1.742,1069,11.638
RollerBallBrain,0.252,250.331,1.698,1084,11.781
RollerBallBrain,0.255,252.348,1.656,1082,11.806
RollerBallBrain,0.248,254.334,1.637,1040,11.806
RollerBallBrain,0.247,256.481,1.789,1074,12.013
RollerBallBrain,0.252,258.383,1.549,1039,11.990
RollerBallBrain,0.255,260.419,1.660,1080,11.972
RollerBallBrain,0.262,262.559,1.760,1040,11.972
RollerBallBrain,0.247,264.574,1.649,1055,12.177
RollerBallBrain,0.266,266.478,1.537,1031,12.145
RollerBallBrain,0.254,268.404,1.561,1060,11.953
RollerBallBrain,0.247,270.690,1.903,1077,11.946
RollerBallBrain,0.337,272.838,1.706,1040,11.946
RollerBallBrain,0.298,274.932,1.710,1101,14.329
RollerBallBrain,0.243,277.109,1.821,1084,18.209
RollerBallBrain,0.244,279.095,1.623,1069,18.139
RollerBallBrain,0.242,281.238,1.779,1053,18.194
RollerBallBrain,0.248,283.481,1.868,1075,18.097
RollerBallBrain,0.244,285.476,1.636,1033,18.415
RollerBallBrain,0.251,287.407,1.571,1079,18.334
RollerBallBrain,0.242,289.655,1.875,1082,18.220
RollerBallBrain,0.248,291.704,1.692,1056,18.172
RollerBallBrain,0.255,293.818,1.738,1084,18.066
RollerBallBrain,0.244,295.836,1.670,1025,18.005
RollerBallBrain,0.244,298.088,1.887,1073,17.929
RollerBallBrain,0.251,299.954,1.526,1060,17.866
RollerBallBrain,0.246,302.054,1.752,1068,17.829
RollerBallBrain,0.259,304.162,1.740,1114,17.755
RollerBallBrain,0.249,306.140,1.630,1044,17.661
RollerBallBrain,0.260,308.341,1.827,1068,17.627
RollerBallBrain,0.252,310.422,1.712,1048,17.649
RollerBallBrain,0.250,312.445,1.658,1073,17.596
RollerBallBrain,0.247,314.395,1.608,1049,17.787
RollerBallBrain,0.248,316.420,1.662,1061,17.740
RollerBallBrain,0.244,318.679,1.896,1072,17.631
RollerBallBrain,0.253,320.671,1.630,1058,17.575
RollerBallBrain,0.248,322.586,1.552,1045,17.513
RollerBallBrain,0.246,324.774,1.821,1062,17.441
RollerBallBrain,0.264,326.846,1.706,1053,17.307
RollerBallBrain,0.246,328.900,1.694,1081,17.289
RollerBallBrain,0.248,331.037,1.764,1082,17.247
RollerBallBrain,0.247,332.995,1.601,1040,17.247
RollerBallBrain,0.251,335.101,1.743,1040,17.247
RollerBallBrain,0.258,337.158,1.677,1040,17.247
RollerBallBrain,0.250,339.116,1.595,1040,19.025
RollerBallBrain,0.259,341.193,1.709,1076,19.006
RollerBallBrain,0.244,343.122,1.587,1032,20.654
RollerBallBrain,0.257,345.362,1.860,1047,20.635
RollerBallBrain,0.245,347.319,1.600,1050,20.691
RollerBallBrain,0.243,349.268,1.600,1052,21.211
RollerBallBrain,0.248,351.369,1.740,1079,21.084
