Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.385,8.403,6.421,2064,-5.514
RollerBallBrain,0.371,13.462,4.214,2070,-5.567
RollerBallBrain,0.337,18.363,4.112,2052,-5.491
RollerBallBrain,0.340,23.381,4.211,2057,-5.528
RollerBallBrain,0.363,28.258,4.069,2049,-5.542
RollerBallBrain,0.360,33.338,4.256,2100,-5.600
RollerBallBrain,0.359,38.738,4.547,2065,-5.621
RollerBallBrain,0.371,43.911,4.324,2049,-5.560
RollerBallBrain,0.377,49.234,4.461,2049,-5.538
RollerBallBrain,0.382,54.617,4.473,2066,-5.519
RollerBallBrain,0.335,59.613,4.175,2059,-5.514
RollerBallBrain,0.526,64.747,4.130,2053,-5.504
RollerBallBrain,0.451,70.427,4.703,2060,-5.510
RollerBallBrain,0.376,75.570,4.294,2057,-5.509
RollerBallBrain,0.320,80.557,4.206,2059,-5.519
RollerBallBrain,0.338,85.344,4.021,2050,-5.491
RollerBallBrain,0.341,90.217,4.098,2069,-5.479
RollerBallBrain,0.355,95.222,4.188,2059,-5.467
RollerBallBrain,0.367,100.084,4.047,2065,-5.445
RollerBallBrain,0.344,104.878,4.014,2072,-5.428
RollerBallBrain,0.330,109.810,4.144,2061,-5.413
RollerBallBrain,0.318,114.658,4.071,2063,-5.385
RollerBallBrain,0.328,119.354,3.945,2050,-5.362
RollerBallBrain,0.391,124.758,4.552,2106,-5.308
RollerBallBrain,0.341,129.772,4.228,2069,-5.270
RollerBallBrain,0.334,134.649,4.104,2076,-5.228
RollerBallBrain,0.340,139.842,4.403,2059,-5.199
RollerBallBrain,0.420,145.080,4.372,2053,-5.175
RollerBallBrain,0.331,150.220,4.367,2076,-5.146
RollerBallBrain,0.334,155.129,4.165,2061,-5.119
RollerBallBrain,0.345,160.095,4.162,2090,-5.103
RollerBallBrain,0.331,164.968,4.116,2132,-5.090
RollerBallBrain,0.329,169.926,4.206,2068,-5.078
RollerBallBrain,0.321,174.700,4.012,2051,-5.050
RollerBallBrain,0.326,179.793,4.282,2074,-5.031
RollerBallBrain,0.337,184.784,4.216,2110,-5.008
RollerBallBrain,0.402,189.870,4.224,2051,-5.001
RollerBallBrain,0.328,195.039,4.369,2052,-4.991
RollerBallBrain,0.337,200.016,4.210,2063,-4.967
RollerBallBrain,0.364,205.038,4.222,2103,-4.951
RollerBallBrain,0.366,210.046,4.169,2074,-4.942
RollerBallBrain,0.336,215.032,4.209,2059,-4.911
RollerBallBrain,0.384,220.770,4.851,2098,-4.898
RollerBallBrain,0.350,226.046,4.450,2070,-4.869
RollerBallBrain,0.368,231.177,4.282,2096,-4.865
RollerBallBrain,0.337,236.151,4.177,2063,-4.854
RollerBallBrain,0.329,241.074,4.175,2069,-4.843
RollerBallBrain,0.337,246.095,4.260,2090,-4.816
RollerBallBrain,0.338,250.958,4.054,2049,-4.801
RollerBallBrain,0.322,255.883,4.161,2051,-4.787
RollerBallBrain,0.334,260.913,4.244,2099,-4.766
RollerBallBrain,0.333,265.862,4.217,2065,-4.744
RollerBallBrain,0.334,270.727,4.106,2068,-4.732
RollerBallBrain,0.335,275.991,4.451,2083,-4.720
RollerBallBrain,0.341,281.064,4.277,2086,-4.709
RollerBallBrain,0.333,286.207,4.384,2073,-4.688
RollerBallBrain,0.347,290.982,4.019,2058,-4.670
RollerBallBrain,0.365,296.300,4.504,2050,-4.656
RollerBallBrain,0.321,301.275,4.217,2085,-4.636
RollerBallBrain,0.353,306.080,4.030,2088,-4.634
RollerBallBrain,0.351,311.088,4.212,2102,-4.634
RollerBallBrain,0.332,315.932,4.086,2092,-4.623
RollerBallBrain,0.435,321.052,4.247,2080,-4.614
RollerBallBrain,0.349,325.969,4.129,2078,-4.605
RollerBallBrain,0.330,330.666,3.952,2059,-4.597
RollerBallBrain,0.338,335.787,4.317,2078,-4.585
RollerBallBrain,0.376,340.559,3.976,2082,-4.577
RollerBallBrain,0.350,345.322,4.007,2057,-4.568
RollerBallBrain,0.373,350.365,4.224,2095,-4.563
RollerBallBrain,0.332,355.211,4.079,2076,-4.558
RollerBallBrain,0.340,360.136,4.128,2049,-4.539
RollerBallBrain,0.360,364.983,4.052,2075,-4.523
RollerBallBrain,0.339,369.930,4.172,2054,-4.519
RollerBallBrain,0.332,374.694,4.005,2050,-4.513
RollerBallBrain,0.344,379.432,3.987,2067,-4.513
RollerBallBrain,0.341,384.482,4.258,2052,-4.502
RollerBallBrain,0.340,389.565,4.275,2113,-4.494
RollerBallBrain,0.334,394.383,4.055,2107,-4.489
RollerBallBrain,0.428,399.388,4.152,2096,-4.479
RollerBallBrain,0.337,404.429,4.257,2087,-4.476
RollerBallBrain,0.345,409.034,3.881,2071,-4.473
RollerBallBrain,0.340,413.910,4.093,2089,-4.472
RollerBallBrain,0.398,418.750,4.023,2077,-4.468
RollerBallBrain,0.356,423.612,4.086,2075,-4.462
RollerBallBrain,0.394,428.365,3.931,2071,-4.460
RollerBallBrain,0.386,432.995,3.863,2066,-4.459
RollerBallBrain,0.363,437.934,4.107,2056,-4.460
RollerBallBrain,0.353,442.648,3.938,2073,-4.458
RollerBallBrain,0.373,447.397,3.961,2097,-4.460
RollerBallBrain,0.390,452.342,4.193,2080,-4.460
RollerBallBrain,0.407,457.637,4.431,2063,-4.461
RollerBallBrain,0.400,462.645,4.114,2113,-4.458
RollerBallBrain,0.353,467.600,4.180,2111,-4.460
RollerBallBrain,0.374,472.430,4.033,2080,-4.460
RollerBallBrain,0.487,477.664,4.127,2056,-4.459
RollerBallBrain,0.354,482.493,4.040,2050,-4.458
RollerBallBrain,0.369,487.372,4.116,2073,-4.457
