Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.402,6.987,5.514,2094,-4.752
RollerBallBrain,0.356,11.037,3.402,2058,-6.534
RollerBallBrain,0.384,15.186,3.415,2059,-6.366
RollerBallBrain,0.357,19.097,3.261,2076,-6.282
RollerBallBrain,0.378,23.596,3.783,2055,-6.063
RollerBallBrain,0.437,27.800,3.447,2050,-6.082
RollerBallBrain,0.428,31.785,3.271,2050,-5.903
RollerBallBrain,0.301,35.236,2.925,2062,-6.000
RollerBallBrain,0.388,38.756,2.911,2057,-5.800
RollerBallBrain,0.262,42.411,3.124,2054,-5.660
RollerBallBrain,0.395,45.855,2.822,2060,-5.640
RollerBallBrain,0.300,49.310,2.923,2052,-5.504
RollerBallBrain,0.382,52.962,3.019,2050,-5.391
RollerBallBrain,0.302,56.504,3.017,2089,-5.339
RollerBallBrain,0.340,60.338,3.230,2078,-5.403
RollerBallBrain,0.379,64.992,3.910,2104,-5.371
RollerBallBrain,0.439,69.585,3.803,2078,-5.330
RollerBallBrain,0.263,73.086,3.018,2072,-5.347
RollerBallBrain,0.269,76.328,2.766,2115,-5.291
RollerBallBrain,0.247,79.514,2.729,2061,-5.314
RollerBallBrain,0.237,82.749,2.789,2064,-5.261
RollerBallBrain,0.239,85.959,2.773,2062,-5.202
RollerBallBrain,0.257,89.136,2.711,2061,-5.145
RollerBallBrain,0.243,92.227,2.635,2071,-5.080
RollerBallBrain,0.239,95.361,2.682,2058,-5.022
RollerBallBrain,0.236,98.488,2.689,2076,-4.960
RollerBallBrain,0.236,101.539,2.626,2056,-4.914
RollerBallBrain,0.239,104.714,2.719,2064,-4.856
RollerBallBrain,0.238,107.836,2.675,2059,-4.826
RollerBallBrain,0.244,110.899,2.637,2050,-4.811
RollerBallBrain,0.231,114.020,2.684,2052,-4.775
RollerBallBrain,0.244,117.101,2.627,2059,-4.709
RollerBallBrain,0.239,120.127,2.594,2052,-4.662
RollerBallBrain,0.240,123.207,2.638,2050,-4.628
RollerBallBrain,0.241,126.403,2.743,2077,-4.584
RollerBallBrain,0.252,129.432,2.587,2059,-4.574
RollerBallBrain,0.234,132.495,2.635,2054,-4.529
RollerBallBrain,0.238,135.670,2.718,2055,-4.480
RollerBallBrain,0.245,138.768,2.650,2052,-4.437
RollerBallBrain,0.266,141.869,2.655,2062,-4.408
RollerBallBrain,0.245,145.010,2.680,2052,-4.402
RollerBallBrain,0.247,148.028,2.572,2061,-4.358
RollerBallBrain,0.243,151.042,2.572,2058,-4.321
RollerBallBrain,0.244,154.138,2.669,2055,-4.290
RollerBallBrain,0.253,157.306,2.699,2058,-4.259
RollerBallBrain,0.247,160.276,2.531,2058,-4.231
RollerBallBrain,0.247,163.493,2.764,2060,-4.203
RollerBallBrain,0.242,166.499,2.562,2049,-4.187
RollerBallBrain,0.241,169.628,2.700,2056,-4.158
RollerBallBrain,0.239,172.664,2.597,2049,-4.155
RollerBallBrain,0.249,175.727,2.608,2052,-4.135
RollerBallBrain,0.235,178.761,2.603,2056,-4.105
RollerBallBrain,0.247,181.950,2.743,2101,-4.077
RollerBallBrain,0.242,185.035,2.631,2049,-4.061
RollerBallBrain,0.248,188.084,2.608,2052,-4.069
RollerBallBrain,0.256,191.158,2.623,2049,-4.044
RollerBallBrain,0.252,194.254,2.631,2049,-4.027
RollerBallBrain,0.241,197.373,2.661,2059,-3.999
RollerBallBrain,0.238,200.394,2.580,2068,-3.972
RollerBallBrain,0.252,203.586,2.713,2055,-3.949
RollerBallBrain,0.249,206.578,2.548,2054,-3.924
RollerBallBrain,0.235,209.651,2.642,2052,-3.905
RollerBallBrain,0.242,212.760,2.649,2056,-3.884
RollerBallBrain,0.247,215.901,2.696,2067,-3.864
RollerBallBrain,0.238,218.958,2.635,2069,-3.844
RollerBallBrain,0.245,222.093,2.689,2050,-3.825
RollerBallBrain,0.243,225.131,2.596,2055,-3.806
RollerBallBrain,0.246,228.165,2.594,2057,-3.790
RollerBallBrain,0.240,231.252,2.640,2055,-3.771
RollerBallBrain,0.241,234.372,2.648,2059,-3.751
RollerBallBrain,0.245,237.406,2.608,2073,-3.732
RollerBallBrain,0.243,240.486,2.632,2055,-3.715
RollerBallBrain,0.231,243.530,2.604,2051,-3.697
RollerBallBrain,0.272,246.676,2.669,2058,-3.680
RollerBallBrain,0.257,249.723,2.593,2053,-3.686
RollerBallBrain,0.240,252.844,2.657,2059,-3.669
RollerBallBrain,0.241,255.887,2.589,2053,-3.653
RollerBallBrain,0.231,258.942,2.636,2057,-3.637
RollerBallBrain,0.277,262.091,2.663,2050,-3.620
RollerBallBrain,0.241,265.154,2.630,2059,-3.606
RollerBallBrain,0.246,268.168,2.578,2078,-3.591
RollerBallBrain,0.252,271.268,2.616,2051,-3.575
RollerBallBrain,0.238,274.307,2.616,2055,-3.560
RollerBallBrain,0.235,277.312,2.589,2070,-3.547
RollerBallBrain,0.251,280.529,2.740,2058,-3.535
RollerBallBrain,0.248,283.588,2.602,2068,-3.522
RollerBallBrain,0.243,286.640,2.608,2055,-3.507
RollerBallBrain,0.239,289.776,2.684,2062,-3.493
RollerBallBrain,0.247,292.905,2.677,2066,-3.481
RollerBallBrain,0.247,295.924,2.581,2054,-3.483
RollerBallBrain,0.235,299.099,2.717,2066,-3.469
RollerBallBrain,0.243,302.129,2.597,2057,-3.456
RollerBallBrain,0.242,305.157,2.586,2053,-3.446
RollerBallBrain,0.247,308.253,2.641,2056,-3.433
RollerBallBrain,0.235,311.370,2.663,2067,-3.422
RollerBallBrain,0.245,314.445,2.634,2049,-3.412
RollerBallBrain,0.274,317.599,2.668,2055,-3.401
RollerBallBrain,0.284,320.967,2.854,2053,-3.391
RollerBallBrain,0.247,324.347,2.906,2055,-3.403
RollerBallBrain,0.237,327.321,2.530,2057,-3.394
RollerBallBrain,0.247,330.603,2.818,2067,-3.382
RollerBallBrain,0.265,333.741,2.664,2049,-3.371
RollerBallBrain,0.308,336.904,2.662,2052,-3.361
RollerBallBrain,0.305,340.187,2.751,2058,-3.350
RollerBallBrain,0.334,343.666,2.904,2058,-3.340
RollerBallBrain,0.276,347.026,2.854,2053,-3.331
RollerBallBrain,0.277,350.346,2.824,2053,-3.321
RollerBallBrain,0.284,353.861,2.997,2060,-3.313
RollerBallBrain,0.282,357.405,3.031,2059,-3.315
RollerBallBrain,0.268,360.730,2.823,2049,-3.307
RollerBallBrain,0.273,363.970,2.738,2059,-3.300
RollerBallBrain,0.278,367.457,2.973,2059,-3.293
RollerBallBrain,0.305,370.870,2.887,2058,-3.285
RollerBallBrain,0.303,374.508,3.074,2059,-3.279
RollerBallBrain,0.317,378.185,3.109,2060,-3.271
RollerBallBrain,0.283,381.640,2.927,2067,-3.263
RollerBallBrain,0.304,385.168,2.968,2061,-3.257
RollerBallBrain,0.286,388.595,2.911,2051,-3.251
RollerBallBrain,0.280,391.983,2.887,2055,-3.245
RollerBallBrain,0.289,395.353,2.851,2054,-3.237
RollerBallBrain,0.274,398.702,2.855,2049,-3.231
RollerBallBrain,0.285,402.108,2.881,2051,-3.225
