Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.142,229.821,1.605,1029,-5.982
RollerBallBrain,0.142,231.682,1.590,1033,-5.967
RollerBallBrain,0.146,233.524,1.567,1032,-5.953
RollerBallBrain,0.144,235.363,1.565,1037,-5.938
RollerBallBrain,0.149,237.245,1.613,1034,-5.925
RollerBallBrain,0.146,239.104,1.594,1056,-5.908
RollerBallBrain,0.146,240.987,1.604,1027,-5.894
RollerBallBrain,0.149,242.813,1.546,1028,-5.879
RollerBallBrain,0.144,244.690,1.599,1027,-5.867
RollerBallBrain,0.146,246.545,1.568,1033,-5.855
RollerBallBrain,0.148,248.411,1.592,1040,-5.847
RollerBallBrain,0.144,250.212,1.539,1028,-5.834
RollerBallBrain,0.144,252.069,1.590,1032,-5.820
RollerBallBrain,0.149,253.927,1.578,1052,-5.806
RollerBallBrain,0.148,255.810,1.607,1034,-5.791
RollerBallBrain,0.144,257.739,1.642,1027,-5.777
RollerBallBrain,0.151,259.477,1.461,1027,-5.772
RollerBallBrain,0.147,261.322,1.571,1026,-5.762
RollerBallBrain,0.147,263.167,1.562,1048,-5.753
RollerBallBrain,0.146,265.044,1.583,1042,-5.742
RollerBallBrain,0.148,266.878,1.557,1035,-5.729
RollerBallBrain,0.146,268.741,1.568,1027,-5.715
RollerBallBrain,0.146,270.605,1.591,1043,-5.703
RollerBallBrain,0.145,272.456,1.574,1038,-5.690
RollerBallBrain,0.145,274.302,1.552,1048,-5.678
RollerBallBrain,0.149,276.187,1.601,1035,-5.664
RollerBallBrain,0.151,278.020,1.548,1028,-5.652
RollerBallBrain,0.146,279.854,1.551,1036,-5.640
RollerBallBrain,0.145,281.728,1.602,1032,-5.630
RollerBallBrain,0.152,283.589,1.571,1031,-5.617
RollerBallBrain,0.144,285.400,1.542,1035,-5.604
RollerBallBrain,0.146,287.278,1.589,1046,-5.593
RollerBallBrain,0.152,289.159,1.611,1027,-5.582
RollerBallBrain,0.148,291.010,1.568,1036,-5.569
RollerBallBrain,0.146,292.870,1.581,1040,-5.556
RollerBallBrain,0.146,294.747,1.586,1041,-5.546
RollerBallBrain,0.146,296.629,1.611,1034,-5.535
RollerBallBrain,0.150,298.498,1.587,1047,-5.523
RollerBallBrain,0.142,300.310,1.542,1035,-5.512
RollerBallBrain,0.147,302.171,1.588,1026,-5.501
RollerBallBrain,0.149,304.049,1.582,1029,-5.489
RollerBallBrain,0.146,305.892,1.571,1033,-5.477
RollerBallBrain,0.145,307.727,1.551,1028,-5.464
RollerBallBrain,0.154,309.564,1.558,1026,-5.451
RollerBallBrain,0.148,311.409,1.574,1041,-5.440
RollerBallBrain,0.149,313.280,1.596,1049,-5.429
RollerBallBrain,0.149,315.134,1.570,1035,-5.417
RollerBallBrain,0.145,316.994,1.587,1034,-5.405
RollerBallBrain,0.149,318.915,1.633,1036,-5.392
