Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.454,6.920,5.155,2060,-4.917
RollerBallBrain,0.447,10.483,2.954,2051,-4.818
RollerBallBrain,0.403,14.271,3.179,2104,-4.847
RollerBallBrain,0.410,17.599,2.739,2063,-4.840
RollerBallBrain,0.403,21.293,3.083,2072,-4.784
RollerBallBrain,0.393,24.810,2.946,2107,-4.773
RollerBallBrain,0.384,28.406,3.033,2128,-4.748
RollerBallBrain,0.410,31.837,2.850,2058,-4.763
RollerBallBrain,0.402,35.555,3.130,2051,-4.738
RollerBallBrain,0.403,38.820,2.683,2057,-4.731
RollerBallBrain,0.432,42.352,2.924,2093,-4.754
RollerBallBrain,0.408,45.930,2.999,2059,-4.707
RollerBallBrain,0.624,49.880,3.127,2099,-4.685
RollerBallBrain,0.478,53.642,3.094,2109,-4.684
RollerBallBrain,0.507,57.377,3.041,2122,-4.688
RollerBallBrain,0.497,61.124,3.050,2066,-4.715
RollerBallBrain,0.426,64.834,3.054,2054,-4.728
RollerBallBrain,0.441,68.284,2.837,2053,-4.727
RollerBallBrain,0.414,71.814,2.930,2054,-4.764
RollerBallBrain,0.410,75.414,3.006,2057,-4.776
RollerBallBrain,0.572,79.127,2.953,2057,-4.783
RollerBallBrain,0.436,82.821,3.054,2067,-4.783
RollerBallBrain,0.442,86.447,3.001,2049,-4.787
RollerBallBrain,0.442,90.023,2.955,2051,-4.785
RollerBallBrain,0.418,93.541,2.927,2071,-4.794
RollerBallBrain,0.468,97.385,3.187,2088,-4.796
RollerBallBrain,0.500,101.035,2.970,2053,-4.791
RollerBallBrain,0.463,104.394,2.714,2080,-4.797
RollerBallBrain,0.540,108.225,3.092,2073,-4.805
RollerBallBrain,0.470,111.966,3.090,2054,-4.820
RollerBallBrain,0.542,115.554,2.863,2054,-4.826
RollerBallBrain,0.495,119.203,2.969,2068,-4.823
RollerBallBrain,0.447,122.671,2.836,2089,-4.828
RollerBallBrain,0.498,126.229,2.891,2050,-4.829
RollerBallBrain,0.459,130.102,3.226,2057,-4.830
RollerBallBrain,0.512,133.665,2.869,2055,-4.823
RollerBallBrain,0.397,137.157,2.921,2052,-4.818
RollerBallBrain,0.434,140.797,3.018,2105,-4.811
RollerBallBrain,0.393,144.449,3.073,2066,-4.806
RollerBallBrain,0.404,147.895,2.853,2054,-4.795
RollerBallBrain,0.444,151.626,3.111,2067,-4.788
RollerBallBrain,0.405,155.180,2.979,2107,-4.795
RollerBallBrain,0.388,158.667,2.911,2049,-4.792
RollerBallBrain,0.422,162.038,2.776,2059,-4.795
RollerBallBrain,0.389,165.471,2.869,2108,-4.788
RollerBallBrain,0.456,169.165,3.023,2101,-4.786
RollerBallBrain,0.391,172.599,2.859,2059,-4.776
RollerBallBrain,0.463,176.317,3.066,2087,-4.768
RollerBallBrain,0.413,179.847,2.943,2076,-4.766
RollerBallBrain,0.429,183.357,2.914,2054,-4.767
RollerBallBrain,0.440,186.754,2.787,2064,-4.758
RollerBallBrain,0.419,190.333,2.971,2068,-4.759
RollerBallBrain,0.399,193.927,3.014,2057,-4.763
RollerBallBrain,0.393,197.508,3.020,2060,-4.762
RollerBallBrain,0.383,201.029,2.956,2089,-4.761
RollerBallBrain,0.402,204.333,2.736,2104,-4.759
